nivel,status_auditavel,orgao,area,tipo_dado,periodo_alvo,pronto_publicar,proximo_passo,pedido_lai,evidencia_local
2-lai-necessario,lai_necessario,Prefeitura,bancario,conta_corrente_bancario,2020-2026,nao,avaliar_campos_publicaveis,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,contabilidade,livro_caixa,2020-2026,nao,baixar_para_validacao_cruzada,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,contabilidade,livro_diario,2020-2026,nao,baixar_para_validacao_cruzada,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,contabilidade,livro_razao,2020-2026,nao,baixar_para_validacao_cruzada,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado_parcial,Prefeitura,fiscal,rreo,2020-2026,sim,cruzar_portal_prefeitura_com_siconfi,sim,data/public/sorocaba/fiscal/saida; docs/publicacao-fiscal-siconfi-sorocaba-2026-06-02.md
1-sem-lai,publicado_parcial,Prefeitura,fiscal,rgf,2020-2026,sim,cruzar_portal_local_com_siconfi,sim,data/public/sorocaba/fiscal/saida; docs/publicacao-fiscal-siconfi-sorocaba-2026-06-02.md
1-sem-lai,publicado,Prefeitura,saude,relatorios_lrf_saude,2020-2026,sim,manter_atualizacao,sim,data/public e data/manifests/datasets.csv
1-sem-lai,publicado,Prefeitura,educacao,relatorios_aplicacao_ensino,2020-2026,sim,manter_atualizacao,sim,data/public e data/manifests/datasets.csv
2-lai-necessario,lai_necessario,Prefeitura,obras,obras_publicas,2020-2026,nao,inventariar_e_cruzar_contratos,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,contratos,contratos_e_aditivos,2020-2026,nao,inventariar_links_e_campos,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,compras,licitacoes,2020-2026,nao,inventariar_e_cruzar_pncp,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,atos,jornal_oficial,2020-2026,nao,criar_indice_por_data_e_assunto,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,pessoal,remuneracao_servidores,2020-2026,nao,inventariar_formato_e_campos,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,precatórios,precatorios,2020-2026,nao,inventariar_e_cruzar_rgf,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado,SICONFI,fiscal,rreo,2020-2026,sim,manter_qa_e_cruzar_fontes,nao,data/public/sorocaba/fiscal/saida; docs/publicacao-fiscal-siconfi-sorocaba-2026-06-02.md
1-sem-lai,publicado,SICONFI,fiscal,rgf,2020-2026,sim,manter_qa_e_cruzar_fontes,nao,data/public/sorocaba/fiscal/saida; docs/publicacao-fiscal-siconfi-sorocaba-2026-06-02.md
1-sem-lai,publicado,SICONFI,fiscal,dca,2020-2026,sim,rodar_qa_e_normalizar_para_publicacao,nao,inventario oficial e roadmap Sorocaba 100
2-lai-necessario,lai_necessario,SICONFI,contabilidade,msc,2020-2026,nao,verificar_disponibilidade_sorocaba,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,parcial,SIOPS,saude,receitas_despesas_saude,2020-2026,nao,coletar_siops_federal_direto_para_validacao_cruzada_independente,nao,DEFERIDO por decisao: proxy RREO-SUS publicado em data/public/sorocaba/saude/saida/ (6 anos); SIOPS federal direto pendente para validacao cruzada ASPS; docs/decisao-siops-sorocaba-2026-06-02.md
1-sem-lai,publicado,FNS,saude,repasses_sus,2020-2026,sim,publicado,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado_parcial,SIOPE,educacao,receitas_despesas_educacao,2020-2026,sim,manter_atualizacao_anual,nao,SIOPE é portal federal público (fnde.gov.br/siope/municipio.do) — sem LAI; pipeline: baixar_fnde_siope.py --fonte siope; saída: data/public/sorocaba/educacao/saida/siope_sorocaba_{ano}.csv
1-sem-lai,publicado_parcial,FNDE,educacao,repasses_programas,2020-2026,sim,manter_atualizacao_anual,nao,FNDE repasses (PDDE/PNAE/PNATE/FUNDEB) via Portal Transparência Federal API — sem LAI; pipeline: baixar_fnde_siope.py --fonte fnde; saída: data/public/sorocaba/educacao/saida/fnde_repasses_sorocaba_{ano}.csv
1-sem-lai,publicado_parcial,Portal_Transparencia_Federal,transferencias,transferencias_para_sorocaba,2020-2026,sim,coletar_por_ente_e_cnpj,sim_preparado,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado,Transferegov,transferencias,convenios_e_instrumentos,2020-2026,sim,concluido,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado_parcial,PNCP,compras,licitacoes_contratos_atas,2020-2026,sim,manter_consolidador_filtrado_e_coletar_2026,sim_preparado,data/public/sorocaba/contratos/saida/pncp_sorocaba_2022_2026.csv; data/extracted/sorocaba/pncp/saida; docs/decisao-pncp-sorocaba-2026-06-02.md
1-sem-lai,publicado_parcial,TCE_SP,controle,contas_e_pareceres,2020-2026,sim,inventario_pareceres_publicado; extrair_conteudo_pdfs_pendente,nao,data/extracted/sorocaba/tce/contas_municipais/pareceres_tce_sorocaba.csv; docs/decisao-tce-pareceres-inventario-sorocaba-2026-06-02.md; docs/fonte-tce-sp-uso-futuro-2026-06-02.md; 20 PDFs oficiais
2-lai-necessario,lai_necessario,AUDESP,controle,dados_enviados_ao_tce,2020-2026,nao,abrir_pedido_lai_tce_sp_dados_audesp,sim,Sistema AUDESP nao expoe dados de submissao municipais publicamente; o que existe localmente sao paginas HTML institucionais do portal TCE-SP (nao dados de Sorocaba); acesso requer LAI ao TCE-SP; decidido 2026-06-10
1-sem-lai,publicado_parcial,Camara,orcamento,execucao_orcamentaria_legislativo,2020-2026,sim,inventariar_portal_transparencia,nao,inventario oficial e roadmap Sorocaba 100
1-sem-lai,publicado_parcial,Camara,pessoal,subsidios_e_remuneracao,2016-2026,sim,ausencia_2020_2021_por_qualidade_de_fonte,nao,OCR com tesseract-por; 9 de 11 anos publicados (2016-2019/2022-2026); anos 2020/2021 com OCR ilegivel mesmo com --enhanced (texto colado e digitos corrompidos no PDF escaneado de origem - tentativa 2026-06-16 retornou 0 registros; extracao seria invencao); TXT de OCR preservados em data/extracted/sorocaba/camara/subsidios/ocr_txt/ para tentativa futura; extrator_subsidios_camara_ocr.py
1-sem-lai,publicado,Camara,contratos,contratos_despesas_gabinete,2020-2026,sim,manter_atualizacao_anual,nao,data/public/sorocaba/camara/gabinete/saida/despesas_gabinete_camara_sorocaba_{ano}.csv; 7 anos (2020-2026); por vereador e categoria (combustivel/material/postagem/aluguel); baixar_despesas_gabinete_camara.py
1-sem-lai,fora_de_escopo_sprint,Camara,legislativo,projetos_leis_votacoes,2020-2026,nao,sprint_futura_scraper_aspnet_viewstate,nao,Dado esta em sorocaba.camarasempapel.com.br/spl/ (ASP.NET WebForms ViewState); HTTP 200; sessoes.aspx tem lista de sessoes plenarias com PDFs e links sessao-leitura.aspx?id=NNN; sem API REST publica; requer scraper ViewState+POST para extrair votacoes; classificado como fora_de_escopo_sprint em 2026-06-10 — complexidade tecnica alta (ViewState stateful POST); dado existente publicamente mas sem coleta automatizada viavel nesta sprint
1-sem-lai,publicado,Camara,emendas,emendas_impositivas,2020-2026,sim,atualizar_anualmente,nao,coleta operacional detectada em data/extracted/sorocaba/cepa/saida/cepa_manifest_coleta.json; ainda nao publicada
1-sem-lai,publicado_parcial,Urbes,transporte,relacao_mensal_despesas,2010-2026,sim,cobertura_2010-2026_dez2012_dez2013_dez2024_ausentes_no_portal,nao,data/public/sorocaba/transporte/urbes/saida/urbes_despesas_mensais_sorocaba.csv; extraido_2026-06-09; 204 registros (17 anos x 12 meses); 11 meses sem total (dado ausente no PDF nao e zero)
1-sem-lai,publicado_parcial,Urbes,transporte,contratos_compras_diretas,2020-2026,sim,manter_qa_public_index_vs_ocr,nao,data/public/sorocaba/transporte/urbes/saida/urbes_contratos_outros_ocr_indice_sorocaba.csv; data/extracted/sorocaba/urbes/contratos_contratos_outros_reparsed.csv; docs/decisao-publicabilidade-urbes-contratos-sorocaba-2026-06-02.md
1-sem-lai,publicado_parcial,Urbes,transporte,remuneracao_transporte_publico,2023,sim,coletar_anos_anteriores_e_posteriores,nao,data/public/sorocaba/transporte/urbes/saida/urbes_tarifa_remuneracao_sorocaba_2023.csv; 3 lotes (CONSOR/CITY/BRT); tarifa tecnica quilometrica vigente e 5 componentes de custo por km; PDF 2023/2024 extraido; anos anteriores ausentes no portal
1-sem-lai,publicado_parcial,Urbes,transporte,contratos_concessao_transporte,2020-2026,sim,manter_qa_public_index_vs_ocr,sim_preparado,data/public/sorocaba/transporte/urbes/saida/urbes_contratos_transporte_ocr_indice_sorocaba.csv; data/extracted/sorocaba/urbes/contratos_contratos_transporte_reparsed.csv; docs/decisao-publicabilidade-urbes-contratos-sorocaba-2026-06-02.md
1-sem-lai,publicado,SAAE,saneamento,receitas_despesas,2020-2026,sim,normalizar_e_rodar_qa,sim_preparado,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado_parcial,SAAE,saneamento,licitacoes_contratos_obras,2020-2026,sim,cobertura_2026_publicada_2020-2025_ausente_portal_historico,nao,data/public/sorocaba/autarquias/saae/saida/saae_contratos_sorocaba_2026.csv(22); saae_licitacoes_sorocaba_2026.csv(77); saae_obras_sorocaba_2017_2022.csv(85); publicado_2026-06-03
1-sem-lai,publicado_parcial,SAAE,pessoal,remuneracao_rh,2020-2026,sim,cobertura_2026_publicada_historico_ausente,nao,data/public/sorocaba/autarquias/saae/pessoal/saida/saae_folha_totais_sorocaba_2026.csv; saae_pessoal_cargos_amostra_sorocaba_2026.csv; publicado_2026-06-03
1-sem-lai,publicado_parcial,FUNSERV,previdencia,balancos_receitas_despesas,2020-2026,sim,extrair_e_validar_categorias_pendentes,sim_preparado,data/public/sorocaba/autarquias/saida/funserv_rpps_sorocaba.csv; data/public/sorocaba/autarquias/saida/funserv_saude_tce_2020_2026.csv; data/public/sorocaba/autarquias/funserv/saida/funserv_balanco_previdenciario_ate_2018.csv; data/public/sorocaba/autarquias/funserv/saida/funserv_balanco_saude_ate_2018.csv; docs/decisao-publicabilidade-funserv-sorocaba-2026-06-02.md
1-sem-lai,publicado_parcial,FUNSERV,previdencia,avaliacao_atuarial,2020-2026,sim,extrair_metricas_atuariais_antes_de_analise,sim_preparado,data/public/sorocaba/autarquias/funserv/saida/funserv_atuarial_sorocaba_2015_2025.csv; docs/decisao-publicabilidade-funserv-sorocaba-2026-06-02.md
1-sem-lai,publicado_parcial,FUNSERV,previdencia,investimentos_e_rentabilidade,2020-2026,sim,extrair_carteira_e_resultados,nao,data/public/sorocaba/autarquias/funserv/saida/funserv_apr_sorocaba_2020_2026.csv; data/extracted/sorocaba/funserv/funserv_apr_sorocaba_2020_2026.csv; docs/decisao-publicabilidade-funserv-sorocaba-2026-06-02.md
2-lai-necessario,lai_necessario,AGEM,metropolitano,receitas_despesas,2020-2026,nao,verificar_relacao_com_sorocaba,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
3-ausencia-comprovada,fonte_ausente,PNCP,contratos,contratos_atas_compras_2020_2021,2020-2021,n/a,documentado_como_ausencia,nao_aplicavel,data/extracted/sorocaba/pncp/diagnosticos/pncp_sorocaba_cobertura_anos_2026-06-03.json
3-ausencia-comprovada,fonte_ausente,Prefeitura,orcamento,loa_2020_2021,2020-2021,n/a,documentado_como_ausencia,nao_aplicavel,docs/roadmap-sorocaba-100.md
