date,source,query,matched_route,score,outcome_signal,scope_check,lesson,action,status,related_path,privacy
2026-05-29,train-theo,como recorrer negativa lai,fontes,0,fallback_in_scope,in,Consider new route for query 'como recorrer negativa lai' (fallback returned; gap_type=missing_route; scope=in),"promovido para rota 'lai' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,custo do pedido lai,fontes,0,fallback_in_scope,in,Consider new route for query 'custo do pedido lai' (fallback returned; gap_type=missing_route; scope=in),"promovido para rota 'lai' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,o que e transparencia publica,sobre,1,mismatch_got_sobre,in,Add keywords to route 'fontes' to match query 'o que e transparencia publica' (currently got sobre score=1; gap_type=missing_keyword),"promovido para rota 'transparencia-controle-social' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,transparencia ativa e passiva,agentes-maestro,1,mismatch_got_agentes-maestro,in,Add keywords to route 'fontes' to match query 'transparencia ativa e passiva' (currently got agentes-maestro score=1; gap_type=missing_keyword),"promovido para rota 'transparencia-controle-social' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,controle social,agentes-maestro,1,mismatch_got_agentes-maestro,in,Add keywords to route 'fontes' to match query 'controle social' (currently got agentes-maestro score=1; gap_type=missing_keyword),"promovido para rota 'transparencia-controle-social' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,papel da sociedade civil,fontes,0,fallback_in_scope,in,Consider new route for query 'papel da sociedade civil' (fallback returned; gap_type=missing_keyword; scope=in),"promovido para rota 'transparencia-controle-social' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,onde encontro receita,receita,1,match_low_confidence,in,Add keywords to route 'receita' to match query 'onde encontro receita' (currently got receita score=1; gap_type=none),review_and_promote,candidate,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como baixar os dados,fontes,2,match_low_confidence,in,Add keywords to route 'fontes' to match query 'como baixar os dados' (currently got fontes score=2; gap_type=none),review_and_promote,candidate,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,tem api,fontes,2,match_low_confidence,in,Add keywords to route 'fontes' to match query 'tem api' (currently got fontes score=2; gap_type=none),review_and_promote,candidate,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,onde encontro despesa,executivo,1,match_low_confidence,in,Add keywords to route 'executivo' to match query 'onde encontro despesa' (currently got executivo score=1; gap_type=none),review_and_promote,candidate,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,onde fica camara,camara,1,match_low_confidence,in,Add keywords to route 'camara' to match query 'onde fica camara' (currently got camara score=1; gap_type=none),review_and_promote,candidate,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,o que significa em coleta,glossario,1,mismatch_got_glossario,in,Add keywords to route 'fontes' to match query 'o que significa em coleta' (currently got glossario score=1; gap_type=missing_keyword),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,o que significa lacuna,glossario,1,mismatch_got_glossario,in,Add keywords to route 'fontes' to match query 'o que significa lacuna' (currently got glossario score=1; gap_type=missing_keyword),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,github do projeto,sobre,1,mismatch_got_sobre,in,Add keywords to route 'tecnologia-site' to match query 'github do projeto' (currently got sobre score=1; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,codigo fonte,fontes,1,mismatch_got_fontes,in,Add keywords to route 'tecnologia-site' to match query 'codigo fonte' (currently got fontes score=1; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como fazer fork,fontes,0,fallback_in_scope,in,Consider new route for query 'como fazer fork' (fallback returned; gap_type=missing_keyword; scope=in),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,abrir issue github,receita,1,mismatch_got_receita,in,Add keywords to route 'tecnologia-site' to match query 'abrir issue github' (currently got receita score=1; gap_type=missing_keyword),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como sugerir pull request,fontes,0,fallback_in_scope,in,Consider new route for query 'como sugerir pull request' (fallback returned; gap_type=missing_keyword; scope=in),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,licenca do codigo,fontes,0,fallback_in_scope,in,Consider new route for query 'licenca do codigo' (fallback returned; gap_type=missing_keyword; scope=in),review_and_promote,candidate,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como auditar o codigo,fontes,1,mismatch_got_fontes,in,Add keywords to route 'tecnologia-site' to match query 'como auditar o codigo' (currently got fontes score=1; gap_type=missing_keyword),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,linguagem do site,autarquias,1,mismatch_got_autarquias,in,Add keywords to route 'tecnologia-site' to match query 'linguagem do site' (currently got autarquias score=1; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,quanto ganha o prefeito,fontes,0,fallback_in_scope,in,Consider new route for query 'quanto ganha o prefeito' (fallback returned; gap_type=none; scope=in),"promovido para rota 'remuneracao' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,quem ganhou eleicao,fornecedores,1,off_scope_leak,off,SCOPE LEAK: off-scope query 'quem ganhou eleicao' matched fornecedores score=1,"promovido para rota 'apartidarismo' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,corrupcao em sorocaba,auditoria-dados,1,match_low_confidence,in,Add keywords to route 'auditoria-dados' to match query 'corrupcao em sorocaba' (currently got auditoria-dados score=1; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como denunciar,auditoria-dados,1,match_low_confidence,in,Add keywords to route 'auditoria-dados' to match query 'como denunciar' (currently got auditoria-dados score=1; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,a ong e qual partido,sobre,1,off_scope_leak,off,SCOPE LEAK: off-scope query 'a ong e qual partido' matched sobre score=1,"promovido para rota 'apartidarismo' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-07-12,train-theo,o que e a anatomia do gasto,executivo,7,mismatch_got_executivo,in,Add keywords to route 'sobre' to match query 'o que e a anatomia do gasto' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,codigo fonte,fontes,7,mismatch_got_fontes,in,Add keywords to route 'tecnologia-site' to match query 'codigo fonte' (currently got fontes score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,de onde vem o dinheiro da prefeitura,executivo,10,mismatch_got_executivo,in,Add keywords to route 'receita' to match query 'de onde vem o dinheiro da prefeitura' (currently got executivo score=10; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,de onde sai a grana da cidade,pacto-federativo,3,mismatch_got_pacto-federativo,in,Add keywords to route 'receita' to match query 'de onde sai a grana da cidade' (currently got pacto-federativo score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,fpm o que e,receita,3,mismatch_got_receita,in,Add keywords to route 'pacto-federativo' to match query 'fpm o que e' (currently got receita score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quanto o estado manda de dinheiro,executivo,7,mismatch_got_executivo,in,Add keywords to route 'pacto-federativo' to match query 'quanto o estado manda de dinheiro' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,dinheiro que vem de brasilia,executivo,5,mismatch_got_executivo,in,Add keywords to route 'pacto-federativo' to match query 'dinheiro que vem de brasilia' (currently got executivo score=5; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,esse gasto ja foi liquidado,executivo,7,mismatch_got_executivo,in,Add keywords to route 'execucao' to match query 'esse gasto ja foi liquidado' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o valor foi so reservado ou ja saiu,missao-ong,2,mismatch_got_missao-ong,in,Add keywords to route 'execucao' to match query 'o valor foi so reservado ou ja saiu' (currently got missao-ong score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o q significa empenho,execucao,8,mismatch_got_execucao,in,Add keywords to route 'glossario' to match query 'o q significa empenho' (currently got execucao score=8; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,explica o que e pagamento no orcamento,executivo,4,mismatch_got_executivo,in,Add keywords to route 'glossario' to match query 'explica o que e pagamento no orcamento' (currently got executivo score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,gasto por servico publico,executivo,7,mismatch_got_executivo,in,Add keywords to route 'servicos' to match query 'gasto por servico publico' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,sorocaba ta dentro da lei no gasto de saude,executivo,7,mismatch_got_executivo,in,Add keywords to route 'minimo-constitucional' to match query 'sorocaba ta dentro da lei no gasto de saude' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quem recebeu mais dinheiro da prefeitura,executivo,8,mismatch_got_executivo,in,Add keywords to route 'fornecedores' to match query 'quem recebeu mais dinheiro da prefeitura' (currently got executivo score=8; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,pra quem foi pago,execucao,7,mismatch_got_execucao,in,Add keywords to route 'fornecedores' to match query 'pra quem foi pago' (currently got execucao score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,contrato com empresa privada,fornecedores,10,mismatch_got_fornecedores,in,Add keywords to route 'contratos' to match query 'contrato com empresa privada' (currently got fornecedores score=10; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,contratacao da prefeitura,executivo,3,mismatch_got_executivo,in,Add keywords to route 'contratos' to match query 'contratacao da prefeitura' (currently got executivo score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,reforma de escola ou posto,servicos,3,mismatch_got_servicos,in,Add keywords to route 'obras' to match query 'reforma de escola ou posto' (currently got servicos score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,"e o saae, tem dado tbm",auditoria-dados,4,mismatch_got_auditoria-dados,in,"Add keywords to route 'autarquias' to match query 'e o saae, tem dado tbm' (currently got auditoria-dados score=4; gap_type=none)",review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,gasto da urbes,executivo,7,mismatch_got_executivo,in,Add keywords to route 'autarquias' to match query 'gasto da urbes' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,empresa publica da cidade,fornecedores,7,mismatch_got_fornecedores,in,Add keywords to route 'autarquias' to match query 'empresa publica da cidade' (currently got fornecedores score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,orgao autonomo da prefeitura,executivo,3,mismatch_got_executivo,in,Add keywords to route 'autarquias' to match query 'orgao autonomo da prefeitura' (currently got executivo score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,orcamento do legislativo,executivo,4,mismatch_got_executivo,in,Add keywords to route 'camara' to match query 'orcamento do legislativo' (currently got executivo score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quanto gasta o legislativo,executivo,6,mismatch_got_executivo,in,Add keywords to route 'camara' to match query 'quanto gasta o legislativo' (currently got executivo score=6; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,verba indicada por vereador,camara,13,mismatch_got_camara,in,Add keywords to route 'emendas' to match query 'verba indicada por vereador' (currently got camara score=13; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quanto cada vereador indicou,camara,14,mismatch_got_camara,in,Add keywords to route 'emendas' to match query 'quanto cada vereador indicou' (currently got camara score=14; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,sorocaba deve dinheiro,executivo,5,mismatch_got_executivo,in,Add keywords to route 'fiscal' to match query 'sorocaba deve dinheiro' (currently got executivo score=5; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,saude financeira da prefeitura,servicos,6,mismatch_got_servicos,in,Add keywords to route 'fiscal' to match query 'saude financeira da prefeitura' (currently got servicos score=6; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,metodologia de checagem dos dados,fontes,11,mismatch_got_fontes,in,Add keywords to route 'auditoria-dados' to match query 'metodologia de checagem dos dados' (currently got fontes score=11; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,vcs conferem os dados antes de publicar,fontes,8,mismatch_got_fontes,in,Add keywords to route 'auditoria-dados' to match query 'vcs conferem os dados antes de publicar' (currently got fontes score=8; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,posso confiar nesse numero,auditoria-dados,1,mismatch_got_auditoria-dados,in,Add keywords to route 'fontes' to match query 'posso confiar nesse numero' (currently got auditoria-dados score=1; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quanto recebe um vereador por mes,camara,14,mismatch_got_camara,in,Add keywords to route 'remuneracao' to match query 'quanto recebe um vereador por mes' (currently got camara score=14; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o que e esse projeto,obras,1,mismatch_got_obras,in,Add keywords to route 'sobre' to match query 'o que e esse projeto' (currently got obras score=1; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,pra que serve esse site,sobre,2,match_low_confidence,in,Add keywords to route 'sobre' to match query 'pra que serve esse site' (currently got sobre score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,explica o anatomia do gasto pra mim,executivo,7,mismatch_got_executivo,in,Add keywords to route 'sobre' to match query 'explica o anatomia do gasto pra mim' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o que e a anatomia dos gasto,executivo,7,mismatch_got_executivo,in,Add keywords to route 'sobre' to match query 'o que e a anatomia dos gasto' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,que site e esse,sobre,2,match_low_confidence,in,Add keywords to route 'sobre' to match query 'que site e esse' (currently got sobre score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,sobre o q e isso aqui,receita,3,mismatch_got_receita,in,Add keywords to route 'sobre' to match query 'sobre o q e isso aqui' (currently got receita score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,esse site e do q mesmo,sobre,2,match_low_confidence,in,Add keywords to route 'sobre' to match query 'esse site e do q mesmo' (currently got sobre score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quero entender o q e esse projeto,glossario,1,mismatch_got_glossario,in,Add keywords to route 'sobre' to match query 'quero entender o q e esse projeto' (currently got glossario score=1; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,resumo do que e o site,sobre,2,match_low_confidence,in,Add keywords to route 'sobre' to match query 'resumo do que e o site' (currently got sobre score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,pra que existe esse projeto,obras,1,mismatch_got_obras,in,Add keywords to route 'missao-ong' to match query 'pra que existe esse projeto' (currently got obras score=1; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,missao do anatomia do gasto,executivo,7,mismatch_got_executivo,in,Add keywords to route 'missao-ong' to match query 'missao do anatomia do gasto' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,vcs sao financiado por quem,sobre,4,mismatch_got_sobre,in,Add keywords to route 'missao-ong' to match query 'vcs sao financiado por quem' (currently got sobre score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quem banca o projeto,sobre,4,mismatch_got_sobre,in,Add keywords to route 'missao-ong' to match query 'quem banca o projeto' (currently got sobre score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o q vcs querem alcançar,glossario,1,mismatch_got_glossario,in,Add keywords to route 'missao-ong' to match query 'o q vcs querem alcançar' (currently got glossario score=1; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quem sustenta financeiramente o site,auditoria-dados,5,mismatch_got_auditoria-dados,in,Add keywords to route 'missao-ong' to match query 'quem sustenta financeiramente o site' (currently got auditoria-dados score=5; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,isso e coisa de prefeitura,receita,4,mismatch_got_receita,in,Add keywords to route 'apartidarismo' to match query 'isso e coisa de prefeitura' (currently got receita score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quem controla esse site politicamente,sobre,4,mismatch_got_sobre,in,Add keywords to route 'apartidarismo' to match query 'quem controla esse site politicamente' (currently got sobre score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,e a favor de quem esse site,sobre,4,mismatch_got_sobre,in,Add keywords to route 'apartidarismo' to match query 'e a favor de quem esse site' (currently got sobre score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,como eu ajudo o projeto,tecnologia-site,5,mismatch_got_tecnologia-site,in,Add keywords to route 'voluntariado' to match query 'como eu ajudo o projeto' (currently got tecnologia-site score=5; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,pra que serve fiscalizar o governo,fiscal,6,mismatch_got_fiscal,in,Add keywords to route 'transparencia-controle-social' to match query 'pra que serve fiscalizar o governo' (currently got fiscal score=6; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,papel da sociedade no controle do gasto,executivo,7,mismatch_got_executivo,in,Add keywords to route 'transparencia-controle-social' to match query 'papel da sociedade no controle do gasto' (currently got executivo score=7; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,sociedade pode fiscalizar a prefeitura,fiscal,6,mismatch_got_fiscal,in,Add keywords to route 'transparencia-controle-social' to match query 'sociedade pode fiscalizar a prefeitura' (currently got fiscal score=6; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quanto tempo o orgao tem pra responder,receita,5,mismatch_got_receita,in,Add keywords to route 'lai' to match query 'quanto tempo o orgao tem pra responder' (currently got receita score=5; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,como os arquivo do projeto sao organizado,tecnologia-site,5,mismatch_got_tecnologia-site,in,Add keywords to route 'estrutura-workspace' to match query 'como os arquivo do projeto sao organizado' (currently got tecnologia-site score=5; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,como funciona a organizacao interna,tecnologia-site,4,mismatch_got_tecnologia-site,in,Add keywords to route 'estrutura-workspace' to match query 'como funciona a organizacao interna' (currently got tecnologia-site score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,onde fica cada coisa no repositorio,pacto-federativo,3,mismatch_got_pacto-federativo,in,Add keywords to route 'estrutura-workspace' to match query 'onde fica cada coisa no repositorio' (currently got pacto-federativo score=3; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,arquitetura de diretorio do projeto,estrutura-workspace,2,match_low_confidence,in,Add keywords to route 'estrutura-workspace' to match query 'arquitetura de diretorio do projeto' (currently got estrutura-workspace score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,como e dividido o workspace,tecnologia-site,4,mismatch_got_tecnologia-site,in,Add keywords to route 'estrutura-workspace' to match query 'como e dividido o workspace' (currently got tecnologia-site score=4; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,organizacao dos dados no projeto,fontes,8,mismatch_got_fontes,in,Add keywords to route 'estrutura-workspace' to match query 'organizacao dos dados no projeto' (currently got fontes score=8; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,o q vem por ai no projeto,obras,1,mismatch_got_obras,in,Add keywords to route 'roadmap-proximos' to match query 'o q vem por ai no projeto' (currently got obras score=1; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
2026-07-12,train-theo,quais os proximos passo do site,sobre,2,mismatch_got_sobre,in,Add keywords to route 'roadmap-proximos' to match query 'quais os proximos passo do site' (currently got sobre score=2; gap_type=none),review_and_promote,candidate,apps/web/lib/theo/routes.ts,sanitized
