data_protocolo,numero_esic,orgao,dataset,descricao,prazo_resposta,status,data_resposta,resultado,observacao
,,SAAE de Sorocaba,licitacoes_contratos_obras,"Licitacoes e contratos de obras do SAAE 2020-2026",,pendente,,,"Solicito os dados de licitacoes_contratos_obras relativos a saneamento de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,FUNSERV de Sorocaba,balancos_receitas_despesas,"Balancos receitas e despesas do FUNSERV 2020-2026",,pendente,,,"Solicito os dados de balancos_receitas_despesas relativos a previdencia de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,FUNSERV de Sorocaba,avaliacao_atuarial,"Avaliacao atuarial do FUNSERV 2020-2026",,pendente,,,"Solicito os dados de avaliacao_atuarial relativos a previdencia de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,ppa,"Plano Plurianual (PPA) 2020-2026",,pendente,,,"Solicito os dados de ppa relativos a orcamento de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,ldo,"Lei de Diretrizes Orcamentarias (LDO) 2020-2026",,pendente,,,"Solicito os dados de ldo relativos a orcamento de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,loa,"Lei Orcamentaria Anual (LOA) 2020-2026",,pendente,,,"Solicito os dados de loa relativos a orcamento de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,registro_analitico_receita_orcamentaria,"Receita orcamentaria analitica 2020-2026",,pendente,,,"Solicito os dados de registro_analitico_receita_orcamentaria relativos a receita de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,balancetes_receita,"Balancetes mensais de receita 2020-2026",,pendente,,,"Solicito os dados de balancetes_receita relativos a receita de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,rreo,"Relatorio Resumido da Execucao Orcamentaria (RREO) 2020-2026",,pendente,,,"Solicito os dados de rreo relativos a fiscal de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,rgf,"Relatorio de Gestao Fiscal (RGF) 2020-2026",,pendente,,,"Solicito os dados de rgf relativos a fiscal de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,relatorios_lrf_saude,"Relatorios LRF da area de saude 2020-2026",,publicado,,,"Solicito os dados de relatorios_lrf_saude relativos a saude de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,relatorios_aplicacao_ensino,"Relatorios de aplicacao de recursos em ensino 2020-2026",,publicado,,,"Solicito os dados de relatorios_aplicacao_ensino relativos a educacao de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,licitacoes,"Licitacoes municipais 2020-2026",,pendente,,,"Solicito os dados de licitacoes relativos a compras de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,jornal_oficial,"Jornal Oficial do municipio 2020-2026",,pendente,,,"Solicito os dados de jornal_oficial relativos a atos de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,remuneracao_servidores,"Remuneracao dos servidores municipais 2020-2026",,pendente,,,"Solicito os dados de remuneracao_servidores relativos a pessoal de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Camara Municipal de Sorocaba,subsidios_e_remuneracao,"Subsidios e remuneracao dos vereadores 2020-2026",,pendente,,,"Solicito os dados de subsidios_e_remuneracao relativos a pessoal de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Camara Municipal de Sorocaba,projetos_leis_votacoes,"Projetos de lei e votacoes 2020-2026",,pendente,,,"Solicito os dados de projetos_leis_votacoes relativos a legislativo de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,registro_analitico_receita_extraorcamentaria,"Receita extraorcamentaria analitica 2020-2026",,pendente,,,"Solicito os dados de registro_analitico_receita_extraorcamentaria relativos a receita de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,registro_analitico_despesa_extraorcamentaria,"Despesa extraorcamentaria analitica 2020-2026",,pendente,,,"Solicito os dados de registro_analitico_despesa_extraorcamentaria relativos a despesa de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,conta_corrente_bancario,"Conta corrente bancaria municipal 2020-2026",,pendente,,,"Solicito os dados de conta_corrente_bancario relativos a bancario de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,livro_caixa,"Livro Caixa da contabilidade municipal 2020-2026",,pendente,,,"Solicito os dados de livro_caixa relativos a contabilidade de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,livro_diario,"Livro Diario da contabilidade municipal 2020-2026",,pendente,,,"Solicito os dados de livro_diario relativos a contabilidade de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,livro_razao,"Livro Razao da contabilidade municipal 2020-2026",,pendente,,,"Solicito os dados de livro_razao relativos a contabilidade de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,precatorios,"Precatorios municipais 2020-2026",,pendente,,,"Solicito os dados de precatorios relativos a precatorios de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,AGEM de Sorocaba,receitas_despesas,"Receitas e despesas da AGEM 2020-2026",,pendente,,,"Solicito os dados de receitas_despesas relativos a metropolitano de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Tesouro Nacional (SICONFI),msc,"Matriz de saldos contabeis mensais (MSC) 2020-2026",,pendente,,,"Solicito os dados da Matriz de Saldos Contabeis (MSC) de Sorocaba/SP disponibilizados pelo SICONFI/Tesouro Nacional, com cobertura de 2020 a 2026, contendo saldos mensais por conta contabil. Caso a informacao nao esteja disponivel, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,FNDE (SIOPE),receitas_despesas_educacao,"Receitas e despesas em educacao via SIOPE 2020-2026",,pendente,,,"Solicito os dados de receitas e despesas em educacao de Sorocaba/SP disponiveis no Sistema de Informacoes sobre Orcamentos Publicos em Educacao (SIOPE/FNDE), com cobertura de 2020 a 2026. Caso a informacao nao esteja disponivel, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,FNDE,repasses_programas,"Repasses de programas educacionais do FNDE a Sorocaba 2020-2026",,pendente,,,"Solicito os dados de repasses de programas educacionais (PNAE, PDDE, PNATE e FUNDEB) transferidos pelo FNDE ao municipio de Sorocaba/SP, com cobertura de 2020 a 2026. Caso a informacao nao esteja disponivel, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Controladoria-Geral da Uniao (CGU),transferencias_para_sorocaba,"Transferencias federais recebidas por Sorocaba 2020-2026",,pendente,,,"Solicito os dados de transferencias federais (constitucionais, legais e voluntarias) recebidas pelo municipio de Sorocaba/SP disponiveis no Portal da Transparencia Federal, com cobertura de 2020 a 2026. Caso a informacao nao esteja disponivel, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Governo Federal (PNCP),licitacoes_contratos_atas,"Licitacoes contratos e atas de Sorocaba no PNCP 2022-2026",,pendente,,,"Solicito os dados de licitacoes, contratos e atas de registro de preco do municipio de Sorocaba/SP disponiveis no Portal Nacional de Contratacoes Publicas (PNCP), com cobertura de 2022 a 2026. Caso a informacao nao esteja disponivel, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,FUNSERV de Sorocaba,balancos_previdenciario_saude_2019_2025,Balancos previdenciario e saude do FUNSERV 2019-2025,,pendente,,,Portal FUNSERV reestruturou em 2026; URLs anteriores retornam 404. Raw existente cobre apenas ate 2018. Solicitar balancos previdenciario e saude de 2019 a 2025.
,,FUNSERV de Sorocaba,receitas_despesas_2020_2025,Receitas e despesas do FUNSERV 2020-2025,,pendente,,,Portal FUNSERV reestruturou; raw disponivel apenas de 2026. Solicitar receitas e despesas de 2020 a 2025.
,,FUNSERV de Sorocaba,rentabilidade_investimentos,Rentabilidade de investimentos previdencia e saude 2020-2025,,pendente,,,Categoria nunca coletada (rentabilidade_previdencia e rentabilidade_saude). Portal retorna 404 para ambas as URLs conhecidas. Solicitar carteira e resultados de rentabilidade de 2020 a 2025.
