id,date,source,problem_id,status,summary,action,validation,related_path,reuse_notes,privacy
S-2026-05-28-006,2026-05-28,Codex,P-2026-05-28-006,validated,Use --no-follow for filtered Vercel log scans on a deployment id,Reran logs as vercel logs dpl_A1wnXPUDfFUaVxYknpYoDHdXgRha --no-follow --level error --since 1h,No error logs found for the deployment or production project,Vercel CLI logs,"For post-deploy scans, combine deployment id with --no-follow when using --since or --level",public sanitized
S-2026-05-28-007,2026-05-28,Codex,P-2026-05-28-007,validated,Assign PowerShell smoke-test results before formatting,Stored foreach output in $results and then piped $results to Format-Table,"Smoke HTTP checks returned 200 for /, /sorocaba, and /sorocaba/dados",PowerShell smoke test,Use an intermediate variable for multi-branch foreach output before table formatting,public sanitized
S-2026-05-28-008,2026-05-28,Codex,P-2026-05-28-008,validated,Keep compatibility CSS variables when introducing a new theme system,Mapped legacy --blue-* --green-* and --font-ibm-plex-mono variables to the new theme tokens in globals.css,validate-area frontend passed; git diff --check passed; visual screenshots rendered,apps/web/app/globals.css,"After changing globals.css, search for removed custom properties and either migrate all users or keep a compatibility layer",public sanitized
S-2026-05-28-009,2026-05-28,Codex,P-2026-05-28-009,validated,Replace absolute coverage claims with audited in-progress wording,Changed home copy from cobertura completa to cobertura auditavel em expansao for 2020-2025,validate-area frontend passed; calc_score remains 79.7%,apps/web/app/page.tsx,Never hardcode complete coverage unless it matches calc_score and lacunas docs,public sanitized
S-2026-05-28-010,2026-05-28,Codex,P-2026-05-28-010,validated,Add explicit accessibility state to custom navigation buttons,"Added localized aria-label, aria-expanded, aria-haspopup, and aria-controls where appropriate",validate-area frontend passed; git diff --check passed,apps/web/components/layout/shell-header.tsx,"Treat custom dropdown and drawer buttons as accessibility work, not only visual UI",public sanitized
S-2026-05-28-011,2026-05-28,Codex,P-2026-05-28-011,validated,Block unsafe Wi-Fi monitor defaults before starting the local server,Added script guards rejecting loopback bind in Wi-Fi mode and rejecting C:\Omega\tmp as Wi-Fi MonitorRoot; documented dedicated sanitized root,PowerShell parser OK; negative Wi-Fi checks throw expected safety errors,tools/tablet/start-tablet-web-monitor.ps1; tools/tablet/README.md,Default USB reverse is safe; Wi-Fi requires explicit PC IP and a dedicated sanitized monitor root,public sanitized
S-2026-05-28-012,2026-05-28,Codex,P-2026-05-28-012,validated,Resolve tablet script repo defaults from the script location,Changed manual script defaults to Resolve-Path Join-Path PSScriptRoot ..\..,PowerShell parser OK,tools/tablet/update-tablet-status.ps1; tools/tablet/sync-anatomia-tablet.ps1,Avoid hardcoded repo roots in portable local tooling,public sanitized
S-2026-05-28-013,2026-05-28,Codex,P-2026-05-28-013,validated,Validate saved monitor PID against command line before reuse,"The script now checks that the saved PID command line contains http.server, the configured port, and monitor root",PowerShell parser OK,tools/tablet/start-tablet-web-monitor.ps1,PID files are hints only; verify command identity before trusting them,public sanitized
S-2026-05-28-014,2026-05-28,Codex,P-2026-05-28-014,validated,Use headless Chrome virtual time budget for screenshot QA,"Recaptured / and /sorocaba/dados with --virtual-time-budget=8000, producing rendered screenshots instead of skeletons",HTTP smoke returned 200 for four routes; screenshots rendered content,C:\Omega\tmp\adg-screenshots-20260528,"For JS-rendered Next pages, wait for hydration/render before judging visual QA",public sanitized
S-2026-05-28-015,2026-05-28,Codex,P-2026-05-28-015,validated,Make historical security archive sync opt-in for tablet status updates,Added -IncludeSecurityArchives to update-tablet-status.ps1 and skipped omega-security-alerts/triggers during normal loop cycles,Manual update dropped from about 68s to about 5.6s; ADB loop completed repeated cycles in 4-5s; tablet monitor screenshot showed Omega estavel,tools/tablet/update-tablet-status.ps1; tools/tablet/README.md,Keep live monitor loops small and reserve bulk archive transfer for explicit manual maintenance,public sanitized
S-2026-05-28-016,2026-05-28,Codex,P-2026-05-28-016,validated,Ignore local PowerShell analysis cache at the repo root,Added Microsoft/ to .gitignore and removed the generated cache directory,git status no longer shows Microsoft/ after cleanup,.gitignore,"If a tool creates deterministic local cache noise inside the repo, ignore the cache pattern instead of repeatedly deleting it",public sanitized
S-2026-05-28-017,2026-05-28,Codex,P-2026-05-28-017,validated,Classify CANCELED deployments by metadata before debugging code,"Check state, created time, build duration, logs availability, commit SHA, creator/actor, and whether a later deployment for the same SHA or newer SHA is READY",Vercel list showed canceled GitHub deployments with Builds . [0ms] and no logs; paired READY deployments existed for 7743bf5 and 560e361,Vercel deployments for project anatomia-do-gasto,"If CANCELED has build 0ms and no logs, treat it as superseded/canceled-before-build unless no later READY deployment exists",public sanitized
S-2026-05-28-018,2026-05-28,Codex,P-2026-05-28-018,validated,Avoid racing GitHub auto-deploy and manual CLI deploy,"After pushing main, wait for the GitHub-triggered deployment to become READY or ERROR before starting manual deploy; if manual deploy is needed, record that it intentionally supersedes the GitHub deployment",Observed repeated GitHub CANCELED followed by CLI READY for the same SHA; manual clean-worktree deploy succeeded when Git deploy was canceled,GitHub integration; Vercel CLI; git worktree deploy flow,"Preferred agent instruction: push -> list Vercel deployments -> wait/inspect latest GitHub deployment -> only run clean-worktree CLI deploy if GitHub deploy is canceled, missing, or failed",public sanitized
S-2026-05-28-019,2026-05-28,Antigravity,P-2026-05-28-019,validated,Terminate production build and rely on Turbopack HMR (npm run dev),Killed task-227 and kept task-204 active. Validated that dev server works seamlessly on http://localhost:3000.,manage_task kill on task-227 succeeded; page loads on port 3000 are instant,apps/web,Never run full production builds for simple visual or layout verification on resource-limited sandboxes. Always use Turbopack dev mode.,public sanitized
S-2026-05-28-020,2026-05-28,Antigravity,P-2026-05-28-020,validated,Kill all zombie node processes and restart dev server under apps/web,"Cancelled dev task, forced cleanup on all local node processes with Stop-Process, verified port 3000 was completely empty, and restarted dev server in its correct subdirectory",Port 3000 cleared successfully; Next.js dev server (Turbopack) restarted in apps/web and bound successfully in 1464ms,local node processes; C:\Users\user\.gemini\antigravity\scratch\ong-sandbox\apps\web,"When dev ports respond sluggishly, check for zombie node processes using Get-NetTCPConnection and Get-Process, and force cleanup before restarting.",public sanitized
S-2026-05-28-021,2026-05-28,Antigravity,P-2026-05-28-021,validated,Clear port 3001 and start dev server on it,"Verified port 3001 is completely clean, started dev server with port 3001 argument, and verified responses",Next.js dev server (Turbopack) bound to port 3001 in 927ms; Invoke-WebRequest returned 200 OK with full HTML content,C:\Users\user\.gemini\antigravity\scratch\ong-sandbox\apps\web,Always verify HTTP response status with Invoke-WebRequest locally to confirm port binding is fully ready.,public sanitized
S-2026-05-28-022,2026-05-28,Antigravity,P-2026-05-28-022,validated,Replace styled-jsx with standard dangerouslySetInnerHTML style tag and restart server,"Replaced style jsx global tag with standard React dangerouslySetInnerHTML style tag, stopped the stuck dev task, force-killed node processes, and restarted dev server freshly",Next.js dev server compiled /mapa-interativo instantly on request; GET /mapa-interativo returned 200 OK in 2.3s,apps/web/app/mapa-interativo/page.tsx,Next.js App Router with Turbopack can hang indefinitely on styled-jsx; always use standard dangerouslySetInnerHTML HTML style tags in client components for custom injected styling.,public sanitized
S-2026-05-28-023,2026-05-28,Antigravity,P-2026-05-28-023,validated,"Excise Clássico layout and simplify coordinates, curve rendering, and switcher buttons","Removed COORDS_CLASSIC, classic state type, classic switcher button, and custom pill rendering to focus purely on Rede Neural and Blueprint",Turbopack compiled mapa-interativo successfully on request in under 1 second; GET returned 200 OK,apps/web/app/mapa-interativo/page.tsx,"When a layout option is rejected, perform clean code excision of all its coordinates, curves, button, and conditional rendering paths to avoid tech debt.",public sanitized
S-2026-05-28-024,2026-05-28,Codex,P-2026-05-28-024,validated,Use explicit executables and NoProfile inside release wrappers,"Changed the release wrapper to call git.exe, python.exe and powershell.exe -NoProfile instead of relying on profile-resolved commands",powershell -NoProfile -ExecutionPolicy Bypass -File tools/release/check-local-release.ps1 passed,tools/release/check-local-release.ps1,Release automation should avoid profile aliases and shell functions; use explicit executables for deterministic local gates.,public sanitized
S-2026-05-28-025,2026-05-28,Codex,P-2026-05-28-025,validated,Separate benchmark goals from measured evidence,"Created a benchmark methodology, target manifest, Paulinia seed manifest, municipal pipeline manifest, and HTTP measurement script that records limitations",measure-http.ps1 wrote 12 rows; validate-area memory and scope passed; CSV imports passed,docs/benchmark-publico.md; data/manifests/benchmark_targets.csv; data/manifests/benchmark_http_latest.csv; data/manifests/municipios_pipeline.csv; data/manifests/paulinia_seed_sources.csv; tools/benchmark/measure-http.ps1,"Benchmark UI should show meta, medido, nao_medido or falhou; never publish hardcoded scores or claims of superiority without stored evidence.",public sanitized
S-2026-05-28-026,2026-05-28,Codex,P-2026-05-28-026,validated,Add a public peer-review contract and local review gate,"Created a GitHub PR template, public peer-review checklist, and validate-area review wrapper that checks core docs, manifests, benchmark evidence and memory CSVs",validate-area review OK; validate-area scope OK; compileall tools/agents OK; git diff --check OK,docs/revisao-pares-github.md; .github/PULL_REQUEST_TEMPLATE.md; tools/agents/check-peer-review-readiness.py; tools/agents/validate-area.py; CONTRIBUTING.md; tasks.txt,"Before PR or commit, internal agent outputs should be reducible to docs, manifests, validations and provenance that an external reviewer can inspect without private chat context.",public sanitized
S-2026-05-28-027,2026-05-28,Codex,P-2026-05-28-027,validated,Promote sandbox ideas only through neutral reimplementation,"Recorded the rule that Gemini/Antigravity may propose fast UI and flowcharts, but official code must rederive values from data, use neutral language, obey publication_classification and pass local gates before commit/push/deploy",validate-area scope OK; npm run lint OK; npm run build OK; git diff --check OK,tasks.txt; apps/web/app/institucional/page.tsx; apps/web/app/auditoria/reportar/page.tsx; apps/web/app/api/dados/page.tsx,"Use sandbox output as product hypothesis, not as source-of-truth implementation; port the idea, not the claim.",public sanitized
S-2026-05-29-001,2026-05-29,Codex,P-2026-05-29-001,implemented,Downgrade data GitHub Actions to read-only manual pilot before any cron or publication,"Documented acceptance criteria: workflow_dispatch only, one scraper/check, permissions contents:read, no secrets, no CDN, no commit/push, no data/public mutation, artifact/report output, timeout and concurrency control",manual inspection of proposed workflow; path existence checks; git status and check-ignore validation,tasks.txt; .github/workflows/sorocaba-pipeline.yml,Treat cloud pipeline proposals as architecture candidates until a read-only pilot passes local and remote review.,public sanitized
S-2026-06-01-001,2026-06-01,Codex,P-2026-06-01-001,validated,Make publication and scope gates municipality-aware,"Changed public path resolution to use the manifest municipio, added Paulinia and gap classifications, regenerated mindmap data, and documented the multi-municipality rule",python pipelines/testes/verificar_publicacao.py --strict OK; python tools/agents/check-scope-gates.py OK; validate-area publication OK; validate-area scope OK,pipelines/testes/verificar_publicacao.py; tools/agents/check-scope-gates.py; data/manifests/publication_classification.csv; apps/web/lib/generated/mindmap-data.ts,Gates must derive data/public paths from datasets.csv instead of hardcoding the first city.,public sanitized
S-2026-06-01-002,2026-06-01,Codex,P-2026-06-01-002,validated,Align manifest period with validated public evidence,Changed Paulinia federal transfers from 2020-2025 to 2021-2025 in the aggregate and city-specific manifests,verificar_publicacao.py --strict OK after period correction,data/manifests/datasets.csv; data/manifests/paulinia/datasets_paulinia.csv,"When QA lacks a year, fix the manifest period or mark a gap; do not invent or publish a placeholder CSV.",public sanitized
S-2026-06-01-003,2026-06-01,Codex,P-2026-06-01-003,candidate,Choose one release authority for Vercel production,"Recommended operating model: keep GitHub Integration for preview checks if useful, but block/disable automatic production promotion unless local release gates and explicit human approval are recorded",not yet changed; decision pending,Vercel project settings; docs/deploy or operational docs,Remote deploy integration is acceptable only when documented as part of the release gate; otherwise it is architecture drift.,public sanitized
S-2026-06-01-004,2026-06-01,Codex,P-2026-06-01-004,validated,Regenerate README sections with data-manifest changes,README AUTO sections were refreshed after Paulinia expansion and the check now passes locally,python tools/dev/regenerar_readme.py --check OK,README.md; apps/web/README.md; data/manifests/README.md; docs/auditoria/README.md; tools/dev/README.md,Generated documentation checks should be part of the local release checklist for municipality expansion.,public sanitized
S-2026-06-01-005,2026-06-01,Codex,P-2026-06-01-005,validated,Make README check mode read-only,Added a write flag so --check computes differences without writing files,python tools/dev/regenerar_readme.py --check OK; git diff --check OK,tools/dev/regenerar_readme.py,Every --check command used in CI should be side-effect-free unless explicitly documented otherwise.,public sanitized
S-2026-06-01-006,2026-06-01,Codex,P-2026-06-01-006,validated,Permit validated local commits and remove remote auto-write authority,"Updated agent policy to allow local commits only at block closure, preserved explicit approval for push/deploy/data publication, and downgraded GitHub workflows to read-only/manual validation paths",validate-area agents OK; validate-area memory OK; git diff --check OK,AI_MASTER_PROMPT.md; AGENTS.md; CLAUDE.md; CODEX.md; ORQUESTRADOR.md; docs/agentes-contexto.md; tools/agents/start-topic.py; tools/agents/validate-area.py; .github/workflows/sync-docs.yml; .github/workflows/sorocaba-pipeline.yml,Local commits reduce coordination risk only when remote write paths are not allowed to bypass the same gate.,public sanitized
S-2026-06-01-007,2026-06-01,Codex,P-2026-06-01-007,validated,Reprocess partial OCR folders and rerun dependent checks sequentially,"Re-ran the URBES transport OCR with --subpasta contratos_transporte --forcar, rebuilt the reparse output, and reran extracted QA after the writer finished",python pipelines/extrair_urbes_contratos_pdf_ocr.py --subpasta contratos_transporte --lote 5 --forcar OK; python pipelines/reparse_urbes_contratos.py OK; python tools/data/qa_extracted_sorocaba.py --markdown docs/qa-extracted-sorocaba-2026-06-01.md --date 2026-06-01 OK,data/extracted/sorocaba/urbes/contratos_contratos_transporte_ocr.csv; data/extracted/sorocaba/urbes/contratos_contratos_transporte_reparsed.csv; docs/qa-extracted-sorocaba-2026-06-01.md,Do not run a QA reader in parallel with a writer for the same extracted files; sequence dependent data checks.,public sanitized
S-2026-06-01-008,2026-06-01,Codex,P-2026-06-01-008,validated,Reconcile expansion manifests against paths.py and data/public before planning new collection,"Updated Paulinia PNCP and Sefaz rows so they point to the current CNPJ, Sefaz code and public transfer files instead of obsolete blockers",rg paths.py and public files OK; verificar_publicacao --strict pending in final validation,data/manifests/paulinia_100_auditavel.csv; docs/lacunas-dados-reais-2026-06-01.md,"Before assigning collection work, compare audit manifests with current config and public inventory.",public sanitized
S-2026-06-02-001,2026-06-02,Codex,P-2026-06-02-001,validated,Inventory municipal TCE evidence from the Prefeitura transparency page,Added a TCE municipal parecer inventory that extracts official Sorocaba links from the Prefeitura transparency page and keeps the generic TCE inventory as a warning only,python tools/data/inventariar_tce_pareceres_sorocaba.py OK; python tools/data/qa_lacunas_sorocaba.py OK,tools/data/inventariar_tce_pareceres_sorocaba.py; docs/qa-lacunas-sorocaba-2026-06-02.md,"For TCE accounts, validate municipality semantics before treating any statewide inventory as municipal evidence.",public sanitized
S-2026-06-02-002,2026-06-02,Codex,P-2026-06-02-002,validated,Normalize SAAE TDAPortal recortes into publication-candidate records before QA,"Created a normalizer that extracts only record-like rows for SAAE contratos, licitacoes and obras and writes separate normalized CSVs in data/extracted",python tools/data/normalizar_saae_lacunas.py OK; python tools/data/qa_lacunas_sorocaba.py OK,tools/data/normalizar_saae_lacunas.py; data/extracted/sorocaba/saae/normalizado; docs/qa-lacunas-sorocaba-2026-06-02.md,"Treat TDAPortal recortes as raw material until filters, duplicated headings and section text are removed.",public sanitized
S-2026-06-02-003,2026-06-02,Codex,P-2026-06-02-003,validated,Add URBES-specific semantic reparse patterns and validate OCR values,"Expanded supplier extraction for Prefeitura/Municipio, operadora, contratada, STU, City and Consorcio Mobility; reused only OCR values with valid Brazilian numeric format and added value/source metadata",python pipelines/reparse_urbes_contratos.py OK; python tools/data/qa_lacunas_sorocaba.py OK 75 ok 3 warn 0 fail,pipelines/reparse_urbes_contratos.py; docs/qa-lacunas-sorocaba-2026-06-02.md; docs/lacunas-dados-reais-2026-06-02.md,"When OCR is complete but semantic coverage is low, compare parser rules against actual clauses before escalating to manual LAI/publication blockers.",public sanitized
S-2026-06-02-004,2026-06-02,Codex,P-2026-06-02-004,validated,Repair blank FUNSERV APR rows with targeted OCR,"Added a small OCR repair tool for APR rows without values, filled the five 2021 image-only PDFs, normalized operation names and reran Sorocaba lacuna QA",python tools/data/reparar_funserv_apr_ocr.py OK repaired 5; python tools/data/qa_lacunas_sorocaba.py OK 78 ok,tools/data/reparar_funserv_apr_ocr.py; data/extracted/sorocaba/funserv/funserv_apr_sorocaba_2020_2026.csv; docs/qa-lacunas-sorocaba-2026-06-02.md,"When pdfplumber returns near-empty text but raw PDFs are present, try targeted OCR before marking a data gap as manual.",public sanitized
S-2026-06-02-005,2026-06-02,Codex,P-2026-06-02-005,validated,Encode TCE-SP auxiliary-source and SIOPS-MVP decisions in docs and QA,"Created decision docs, updated manifest wording and changed lacuna QA so documented non-blockers no longer appear as unresolved warnings",python tools/data/qa_lacunas_sorocaba.py OK 78 ok; check-scope-gates OK; verificar_publicacao --strict OK,tools/data/qa_lacunas_sorocaba.py; docs/fonte-tce-sp-uso-futuro-2026-06-02.md; docs/decisao-siops-sorocaba-2026-06-02.md; data/manifests/sorocaba_100_auditavel.csv,"Keep useful auxiliary sources, but require explicit municipal linkage before using them as direct evidence.",public sanitized
S-2026-06-02-006,2026-06-02,Codex,P-2026-06-02-006,validated,Compare extracted/public hashes before planning a new publication batch,"Confirmed Fiscal/SICONFI Sorocaba was already public by SHA-256 match, documented the result and reconciled manifest rows instead of copying files again",SHA-256 extracted/public 50/50 identical; qa_lacunas_sorocaba OK 78 ok; check-scope-gates OK; verificar_publicacao --strict OK,docs/publicacao-fiscal-siconfi-sorocaba-2026-06-02.md; data/manifests/sorocaba_100_auditavel.csv; docs/lacunas-dados-reais-2026-06-02.md,"Before publishing any proposed batch, hash-compare extracted, validated and public layers to detect already-published data.",public sanitized
S-2026-06-02-007,2026-06-02,Codex,P-2026-06-02-007,validated,Add semantic QA before SAAE publication decisions,"Updated SAAE normalization to preserve missing dates/opening markers explicitly, deduplicate all works process prefixes and make QA warn on missing dates, missing opening and missing works description",py_compile OK; normalizar_saae_lacunas OK contratos 22 licitacoes 77 obras 85; qa_lacunas_sorocaba OK 75 ok 3 warn 0 fail,tools/data/normalizar_saae_lacunas.py; tools/data/qa_lacunas_sorocaba.py; docs/decisao-publicacao-saae-licitacoes-contratos-obras-sorocaba-2026-06-02.md; data/manifests/sorocaba_100_auditavel.csv,"Publication candidates need semantic field checks, not only row counts and filter-text removal.",public sanitized
S-2026-06-02-008,2026-06-02,Codex,P-2026-06-02-008,validated,Filter PNCP consolidation by municipal CNPJ and default to dry-run,Changed gerar_pncp_publicacao.py so consolidation ignores rows outside orgao_cnpj=46634044000174 and only writes data/public with --write-public; added QA warnings for wrong CNPJ in extracted and current public PNCP,py_compile OK; gerar_pncp_publicacao dry-run OK 2101 records ignored 1; qa_lacunas_sorocaba OK with PNCP wrong_orgao_cnpj warnings documented,pipelines/gerar_pncp_publicacao.py; tools/data/qa_lacunas_sorocaba.py; docs/decisao-pncp-sorocaba-2026-06-02.md; data/manifests/sorocaba_100_auditavel.csv,"Before publishing PNCP search results, constrain by official municipal CNPJ and inspect out-of-scope organizations.",public sanitized
S-2026-06-02-009,2026-06-02,Codex,P-2026-06-02-009,validated,Require year and PDF URL for TCE parecer inventory rows,"Changed the TCE municipal inventory extractor to skip rows without an exercise year or without a PDF URL, then documented the result as extracted-only inventory",py_compile OK; inventariar_tce_pareceres_sorocaba OK 20 rows; qa_lacunas_sorocaba OK with missing_year=0 and non_pdf_url=0,tools/data/inventariar_tce_pareceres_sorocaba.py; tools/data/qa_lacunas_sorocaba.py; docs/decisao-tce-pareceres-inventario-sorocaba-2026-06-02.md,"For document inventories scraped from portal pages, validate that each row is a real document, not only a section or navigation link.",public sanitized
